X (mm),Y (mm)
0.0,0.0
9.798426343262534,13.998317223330314
116.99601702330078,63.270768592035594
160.7429444071448,48.82685788372471
364.5488579090669,61.63994158332224
399.93204637600064,67.78142352135762
429.44782435239244,59.42202712932101
401.082891817669,103.3799421726969
339.63711712210056,100.84281528581096
244.95473501650275,169.52813198703575
143.64359647134614,217.039704333095
22.410174902772884,201.9089154944127
10.423659455754564,217.73424554995432
7.890373451945454,244.4651530873549
66.16606558526766,323.0701361719821
162.00283685785894,356.0943393785
190.14725415788254,532.480264478359
162.58526960065583,637.8504542089398
170.31841173405348,665.2123825005426
133.86318029637937,754.6302719604308
121.05494236814813,704.9759204124633
73.2903527267939,694.4750515923434
54.986394240228705,734.9553263059369
17.757533410656823,772.1667634487769
22.84524496156921,670.3733712242274
11.000685227216245,626.8262171672246
19.104017566472997,606.3099659690429
63.306525980037605,640.8416711689238
117.04303172983037,592.9206904414175
206.99730712453191,633.719869649548
238.40222931417063,653.6287621479825
274.4787538281317,704.1910602629036
272.727231942771,738.1050710115945
313.8218835919174,672.5971089163321
283.09278363292896,643.0553645315815
278.1735691526162,557.159022072271
243.46633244149967,533.9375319832235
202.1724022070691,493.5355335306978
114.26984237156903,391.7451871283496
67.97043015626478,383.4340562204666
47.12785742108405,378.1354374015373
0.028318338657218334,390.10740490954197
58.445122370843094,498.0280422999322
56.0823861205745,518.6582463004493
36.421905141207844,556.6547899427771
81.16561998588621,566.4789059755999
90.71648689079427,503.69482441063474
212.2863994146815,450.0584131798751
229.5821881679977,443.9484223856348
288.4511521037625,457.04913939078057
301.2577916379911,426.4973241221976
322.9737631075703,386.0128696827117
349.16570990515163,261.2892887279388
294.6425172634581,253.44725045057822
248.33415283826818,273.18318744332043
269.9227094822878,178.65111494130065
420.200674890368,256.0112236806616
454.73746399078544,264.6846840830269
388.5071293430507,139.73143586648487
461.84767711729535,123.40605898021649
523.3055587807921,121.186854417462
551.0545081216416,166.99421223855194
574.7175566693571,195.20343881774647
579.3461920392865,201.53318272559417
612.095351858324,256.8120399565311
623.4115383036469,297.09403597540245
560.915804918051,261.7640013579846
550.6636036052887,309.84298069556706
479.85259280559944,278.7061096833879
456.8235235932514,346.7156178173313
363.22109257690175,478.3805929929683
455.8230156642372,524.1059457173094
502.28982265445285,579.1005330176106
519.1079044394182,683.6975733324953
578.3019527780542,781.1544678953169
588.051383337611,758.3024707393862
610.2590210059926,740.1434362162489
634.376246624238,744.9974166149046
742.028396398948,669.2597645268306
697.2667788666846,647.6032069879059
637.8702637537297,578.2795205182438
568.7558376319936,631.3764252393007
548.6979167272677,590.9633296525134
537.2786842084,552.4794628954195
573.9708795337064,506.63950253308184
602.2626533842779,482.1834828734331
655.5279008863972,379.7834473958792
676.2386485946988,348.37652496215964
782.8365669178454,489.54860710255036
789.9485365121918,383.57231498135684
739.373554888997,357.09758503490326
708.6648046516009,241.48232818170302
724.6181038791259,139.06313220088612
725.6916513343062,129.53190858505224
657.4099798995895,170.45022925794376
637.3153899004047,169.94649786612638
650.4674238384978,45.38113940816508
470.99937589093327,11.995684312563437
422.7388629506638,3.9278412971479604
370.8653205735535,13.442659010899938
